Sara Bareilles,The Blessed Unrest,1000 Times,4:30,1,, 
Arkells,High Noon,11:11,3:40,2,, 
Taylor Swift,Red,22,3:50,3,, 
Childish Gambino,Because The Internet,E  3005,3:54,4,, 
Tenacious D,Rize Of The Fenix,E  39 (Explicit Version),5:16,5,, 
Lorde,Pure Heroine,400 Lux,3:54,6,, 
Train,California 37,50 Ways to Say Goodbye,4:07,7,, 
The Joy Formidable,A Balloon Called Moaning,9669,2:48,8,, 
Robert Delong,Long Way Down,Acid Rain,4:39,9,, 
Zedd,True Colors,Addicted To A Memory (feat Bahari),5:03,10,, 
CHVRCHES,Every Open Eye,Afterglow,3:14,11,, 
XYLØ,Afterlife,E  Afterlife,3:28,12,, 
Hoodie Allen,People Keep Talking,All About It (feat. Ed Sheeran),3:25,13,, 
St. Lucia,When The Night,All Eyes on You,4:27,14,, 
Adele,25,All I Ask,4:31,15,, 
The Airborne Toxic Event,All at Once,All I Ever Wanted (feat. The Calder Quartet),4:17,16,, 
Lionel Richie,Tuskegee,All Night Long (feat. Jimmy Buffett),4:57,17,, 
Childish Gambino,Camp,E  All The Shine,5:46,19,, 
Stromae,Alors On Danse,Alors on danse (Radio Edit),3:27,20,, 
Nico & Vinz,Black Star Elephant,Am I Wrong,4:07,21,, 
Elle King,Love Stuff,America's Sweetheart,4:05,22,, 
The 1900s,Return of the Century,Amulet,2:35,23,, 
Macklemore,The Unplanned Mixtape,And We Danced (feat. Ziggy Stardust),4:06,24,, 
Mother Mother,Touch Up,Angry Sea,3:05,25,, 
Queen,Greatest Hits,Another One Bites The Dust,3:35,26,, 
Ellie Goulding,Halcyon Days,Anything Could Happen,4:46,28,, 
Wolfmother,Wolfmother,Apple Tree,3:30,29,, 
Arctic Monkeys,AM,Arabella,3:27,30,, 
Tokyo Police Club,Forcefield,Argentina (Parts I, II, III),8:32,31,, 
Mother Mother,O My Heart,Arms Tonite,3:36,32,, 
Daft Punk,Homework,Around The World,7:09,33,, 
Kongos,Lunatic,As We Are,4:42,34,, 
Mother Mother,Eureka,Aspiring Fires,3:34,35,, 
Big Data,2.0,Automatic (feat. Jenn Wasner),5:14,36,, 
Tenacious D,The Pick Of Destiny,Baby,1:36,37,, 
Mother Mother,Eureka,Baby Don't Dance,3:30,38,, 
Childish Gambino,Camp,E  Backpackers,3:15,40,, 
Taylor Swift,Summer Hits,Bad Blood feat Kendrick Lamar,3:19,41,, 
David Guetta & Showtek,Bad (feat. Vassy) [Radio Edit],Bad (feat. Vassy) [Radio Edit],2:50,42,, 
M.I.A.,Matangi,Bad Girls,3:47,43,, 
Social Distortion,Social Distortion,Ball and Chain,5:43,44,, 
Mother Mother,Touch Up,Ball Cap,3:20,45,, 
Tenacious D,Rize Of The Fenix,E  The Ballad Of Hollywood Jack And The Rage Kage (Explicit Version),5:05,46,, 
Jessie J,Bang Bang,Bang Bang,3:19,47,, 
Tokyo Police Club,Forcefield,Beaches,3:20,48,, 
Cazzette,Eject,Beam Me Up (Radio Edit),3:23,49,, 
Nico Vega,Fury Oh Fury EP,Beast,4:00,50,, 
Lady Gaga,The Fame,Beautiful, Dirty, Rich,2:52,51,, 
Zedd,True Colors,Beautiful Now (feat. Jon Bellion),3:38,52,, 
Infected Mushroom,Vicious Delicious,Becoming Insane,7:20,53,, 
Tenacious D,The Pick Of Destiny,E  Beelzeboss (The Final Showdown),5:35,54,, 
The Barden Bellas,Pitch Perfect Soundtrack,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,3:37,55,, 
The Barden Bellas,Pitch Perfect Soundtrack,Bellas Regionals: The Sign/Eternal Flame/Turn The Beat Around,2:40,56,, 
Atmosphere,To All My Friends, Blood Makes The Blade Holy: the Atmosphere ep's,E  The Best Day,3:36,57,, 
American Authors,Oh, What A Life,Best Day Of My Life,3:14,58,, 
Foo Fighters,Greatest Hits,Best Of You,4:14,59,, 
Daft Punk,Random Access Memories,Beyond,4:50,60,, 
Lindsey Stirling,Shatter Me,Beyond the Veil,4:15,61,, 
Big Data,2.0,Big Dater,4:25,62,, 
Mother Mother,Bit By Bit,Bit By Bit,3:18,63,, 
Mother Mother,The Sticks,Bit By Bit,3:18,64,, 
Rihanna,Bitch Better Have My Money,E  Bitch Better Have My Money,3:39,65,, 
MUTEMATH,Odd Soul,Blood Pressure,3:03,66,, 
P!nk,The Truth About Love,E  Blow Me (One Last Kiss),4:15,67,, 
Robin Thicke,Blurred Lines,Blurred Lines (feat. T.I. & Pharrell),4:23,68,, 
Mother Mother,O My Heart,Body,3:33,69,, 
Mother Mother,O My Heart,Body of Years,4:38,70,, 
Childish Gambino,Camp,E  Bonfire,3:12,71,, 
Shaggy,The Best Of Shaggy,Boombastic,4:10,72,, 
Deorro,Bootie in Your Face (No Rock Drop),Bootie in Your Face (No Rock Drop),3:41,73,, 
Mother Mother,Eureka,Born In A Flash,3:11,74,, 
Dropkick Murphys,Signed And Sealed In Blood,The Boys Are Back,3:19,75,, 
Sara Bareilles,The Blessed Unrest,Brave,3:40,76,, 
Tenacious D,The Pick Of Destiny,E  Break In-City (Storm the Gate),1:22,77,, 
Kelly Clarkson,Breakaway,Breakaway,3:57,78,, 
Ellie Goulding,Burn,Burn,3:51,79,, 
Mother Mother,O My Heart,Burning Pile,4:22,80,, 
CHVRCHES,Every Open Eye,Bury It,3:08,81,, 
Mother Mother,The Sticks,Business Man,3:21,82,, 
Big Data,2.0,The Business of Emotion (feat. White Sea),4:07,83,, 
Jungle,Busy Earnin',Busy Earnin',2:59,84,, 
Lorde,Pure Heroine,Buzzcut Season,4:06,85,, 
Enur,Calabria 2007,Calabria 2007 (Club Mix) (feat. Natasja),6:30,86,, 
Social Distortion,Hard Times And Nursery Rhymes (Deluxe Edition),California (Hustle and Flow),4:59,87,, 
Eric Prydz,Call On Me,Call On Me (Radio Edit),2:49,88,, 
Mother Mother,Eureka,Calm Me Down,4:42,89,, 
Brandon Flowers,The Desired Effect,Can't Deny My Love,3:42,90,, 
The Weeknd,Beauty Behind The Madness,Can't Feel My Face,3:33,91,, 
Macklemore & Ryan Lewis,The Heist,Can't Hold Us (feat. Ray Dalton),4:18,92,, 
Becky G,Can't Stop Dancin',Can't Stop Dancin',3:18,93,, 
Tenacious D,The Pick Of Destiny,E  Car Chase City,2:42,94,, 
twenty one pilots,Vessel,Car Radio,4:27,95,, 
The Airborne Toxic Event,All at Once,Changing,3:20,98,, 
Mother Mother,Eureka,Chasing It Down,4:10,99,, 
RAC,Strangers,Cheap Sunglasses (feat. Matthew Koma),3:35,100,, 
John Newman,Tribute,Cheating,3:42,101,, 
OMI,Cheerleader (Remixes),Cheerleader,2:54,102,, 
Alice Russell,To Dust,Citizens,2:47,103,, 
Zedd,Clarity,Clarity (feat. Foxes),4:31,104,, 
Jidenna feat. Roman GianArthur,Classic Man,E  Classic Man (feat. Roman GianArthur),3:46,105,, 
Jidenna,Wondaland Presents: The Eephus,E  Classic Man (Remix) (feat. Kendrick Lamar),3:55,106,, 
Tenacious D,Rize Of The Fenix,E  Classical Teacher (Explicit Version),3:23,107,, 
Tenacious D,The Pick Of Destiny,E  Classico,0:58,108,, 
Big Data,2.0,Clean (feat. Jamie Lidell),3:21,109,, 
CHVRCHES,Every Open Eye,Clearest Blue,3:53,110,, 
Christian Hansen & the Autistics,Power Leopard,Cocaine Trade,4:03,111,, 
Wolfmother,Wolfmother,Colossal,5:04,112,, 
Metric,Old World Underground, Where Are You Now?,Combat Baby,3:29,113,, 
Save Ferris,It Means Everything,Come on Eileen,4:09,114,, 
Arkells,High Noon,Come To Light,3:33,115,, 
Kongos,Lunatic,Come with Me Now,3:31,116,, 
Steel Panther,Feel The Steel (Explicit Version),E  Community Property,3:38,117,, 
Daft Punk,Random Access Memories,Contact,6:23,118,, 
K.Flay,What If It Is,The Cops,3:32,120,, 
Beautiful Small Machines,The Robots in Love - EP,Counting Back To 1,3:57,121,, 
Ke$ha,Warrior (Deluxe Version),E  Crazy Kids,3:50,122,, 
Queen,Greatest Hits,Crazy Little Thing Called Love,2:43,123,, 
Anna Kendrick,Pitch Perfect Soundtrack,Cups (Movie Version),1:16,126,, 
Electric Six,Absolute Pleasure,Dance Commander,3:01,129,, 
Duke Evers,Handfull of Pennies,Dancer,2:29,130,, 
Galantis,Pharmacy,Dancin' To The Sound Of A Broken Heart,3:38,131,, 
Electric Six,Absolute Pleasure,Danger High Voltage,4:03,132,, 
Electric Six,Danger! High Voltage!,Danger High Voltage ( Soulchild Radio Mix),3:37,133,, 
Big Data,2.0,Dangerous (feat. Joywave),4:40,134,, 
Katy Perry,PRISM (Deluxe),Dark Horse (feat. Juicy J),3:35,135,, 
Seven Lions,Days To Come EP,Days to Come,4:44,136,, 
Meghan Trainor,Title,Dear Future Husband,3:04,137,, 
Childish Gambino,Because The Internet,E  Death By Numbers,0:43,138,, 
Steve Aoki,Delirious (Boneless) (Remixes),Delirious (Boneless) (Reid Stefan Remix) (feat. Kid Ink),4:11,139,, 
Imagine Dragons,Night Visions,Demons,2:55,140,, 
Tenacious D,The Pick Of Destiny,Destiny,0:37,141,, 
Tenacious D,Rize Of The Fenix,E  Deth Starr (Explicit Version),4:44,142,, 
Childish Gambino,Because The Internet,E  Dial up,0:44,143,, 
Ke$ha,Warrior (Deluxe Version),Die Young,3:31,144,, 
Wolfmother,Wolfmother,Dimension,4:21,145,, 
Mother Mother,Touch Up,Dirty Town,2:32,146,, 
Cake,Fashion Nugget,The Distance,2:59,147,, 
Tenacious D,The Pick Of Destiny,The Divide,0:22,148,, 
TV On The Radio,Dear Science,DLZ,3:48,149,, 
Arctic Monkeys,AM,Do I Wanna Know?,4:32,150,, 
The Flaming Lips,Yoshimi Battles The Pink Robots (U.S. Version),Do You Realize??,3:33,151,, 
Pink Floyd,Animals,Dogs,17:05,152,, 
Daft Punk,Random Access Memories,Doin' it Right (feat. Panda Bear),4:11,153,, 
Ed Sheeran,x (Deluxe Edition),Don't,3:39,154,, 
Christian Hansen & the Autistics,Swans,Don't Leave Her Out,3:57,155,, 
Queen,Greatest Hits,Don't Stop Me Now,3:29,156,, 
The Treblemakers,Pitch Perfect Soundtrack,Don't Stop The Music,3:05,157,, 
Seven Lions,Worlds Apart,Don’t Leave (feat. Ellie Goulding),6:02,158,, 
Electric Six,I Shall Exterminate Everything Around Me That Restricts Me From Being The Master,Down At McDonaldz,4:01,159,, 
CHVRCHES,Every Open Eye,Down Side Of Me,5:10,160,, 
Mother Mother,The Sticks,Dread In My Heart,2:31,161,, 
